timestamp,mixture,num_speakers,mean_si_sdri,mean_pesq,mean_stoi
2026-07-11T02:46:42,data\mixtures\mixture_000\mixture.wav,3,15.2555,2.5665,0.9241
2026-07-11T02:47:19,data\mixtures\mixture_001\mixture.wav,3,14.6507,2.4141,0.8724
2026-07-11T02:47:25,data\mixtures\mixture_002\mixture.wav,3,17.2080,2.7530,0.9389
